# BME688 cage-odor heater-sweep log
# firmware_version,cage-odor-1.2.0
# session_start_iso,(no RTC)
# session_start_unix,0
# rtc_present,0
# sensors_detected,8 of 8
# sensor,0,logical_id,0,enabled,1,ok,1,unique_id,0x2ED18B51
# sensor,1,logical_id,1,enabled,1,ok,1,unique_id,0x2ED19951
# sensor,2,logical_id,2,enabled,1,ok,1,unique_id,0x2ED19B51
# sensor,3,logical_id,3,enabled,1,ok,1,unique_id,0x2ED19D51
# sensor,4,logical_id,4,enabled,1,ok,1,unique_id,0x2ED1A051
# sensor,5,logical_id,5,enabled,1,ok,1,unique_id,0x2ED1A251
# sensor,6,logical_id,6,enabled,1,ok,1,unique_id,0x2ED1A451
# sensor,7,logical_id,7,enabled,1,ok,1,unique_id,0x2ED19C4A
# profile_rotate_ms,120000
# n_profiles,4
# profile,0,bosch_default,meas_dur_ms,140,temps,320 100 100 100 200 200 200 320 320 320,muls,5 2 10 30 5 5 5 5 5 5
# profile,1,ramp_200_350,meas_dur_ms,140,temps,200 217 233 250 267 283 300 317 333 350,muls,10 10 10 10 10 10 10 10 10 10
# profile,2,ramp_short_dwell,meas_dur_ms,140,temps,200 217 233 250 267 283 300 317 333 350,muls,3 3 3 3 3 3 3 3 3 3
# profile,3,ramp_long_dwell,meas_dur_ms,300,temps,200 217 233 250 267 283 300 317 333 350,muls,20 20 20 20 20 20 20 20 20 20
#
timestamp_iso,millis,unix_time,label,label_name,marker,sensor_idx,logical_id,profile_id,profile_name,profile_cycle,heater_step,heater_temp_c,heater_dur_ms,gas_resistance_ohm,temperature_c,humidity_pct,pressure_pa,idac,res_heat,gas_wait_reg,status,gas_valid,heat_stable,meas_index,skipped
,69753,0,2,SOILED,,1,1,0,bosch_default,1,9,320,495,9975.06,37.601,33.353,100110.86,170,105,5,144,0,1,126,57
,74096,0,2,SOILED,,2,2,0,bosch_default,1,3,100,2970,267223.37,36.597,35.666,100110.18,93,52,30,128,0,0,156,71
,76478,0,2,SOILED,,4,4,0,bosch_default,1,3,100,2970,713091.94,36.652,32.349,100130.09,95,54,30,144,0,1,171,123
,78155,0,2,SOILED,,1,1,0,bosch_default,1,6,200,495,32000.00,36.916,34.376,100111.18,137,76,5,144,0,1,187,60
,80122,0,2,SOILED,,6,6,0,bosch_default,1,8,320,495,13876.84,38.134,30.722,100121.90,172,110,5,144,0,1,199,81
,81379,0,2,SOILED,,0,0,0,bosch_default,1,0,320,495,9965.74,37.510,35.196,100099.53,178,107,5,144,0,1,207,105
,82503,0,2,SOILED,,3,3,0,bosch_default,1,2,100,990,363378.28,37.516,36.003,100122.55,92,52,10,128,0,0,214,124
,84183,0,2,SOILED,,2,2,0,bosch_default,1,3,100,2970,237642.14,36.705,36.129,100111.52,93,52,30,128,0,0,229,72
,85589,0,2,SOILED,,7,7,0,bosch_default,1,3,100,2970,617611.56,36.905,29.457,100108.41,98,50,30,144,0,1,236,129
,86145,0,2,SOILED,,1,1,0,bosch_default,1,3,100,2970,221453.28,36.128,34.576,100113.04,92,51,30,144,0,1,245,57
,91052,0,2,SOILED,,6,6,0,bosch_default,1,9,320,495,17034.87,38.239,30.949,100121.22,172,110,5,144,0,1,22,78
,91471,0,2,SOILED,,5,5,0,bosch_default,1,8,320,495,12703.45,38.303,33.606,100106.52,172,105,5,176,1,1,21,196
,93152,0,2,SOILED,,4,4,0,bosch_default,1,2,100,990,715333.56,37.705,32.306,100131.64,95,54,10,128,0,0,35,119
,94271,0,2,SOILED,,2,2,0,bosch_default,1,3,100,2970,221885.16,36.848,36.521,100111.07,93,52,30,128,0,0,46,72
,94411,0,2,SOILED,,1,1,0,bosch_default,1,3,100,2970,210266.94,36.315,34.738,100110.61,92,51,30,128,0,0,49,59
,95673,0,2,SOILED,,0,0,0,bosch_default,1,3,100,2970,194123.22,36.176,35.518,100098.18,98,52,30,144,0,1,54,102
,98757,0,2,SOILED,,3,3,0,bosch_default,1,4,200,495,244449.75,36.984,37.092,100112.65,136,77,5,144,0,1,75,116
,102262,0,2,SOILED,,6,6,0,bosch_default,1,9,320,495,20138.45,38.374,30.812,100125.45,172,110,5,176,1,1,103,80
,102677,0,2,SOILED,,1,1,0,bosch_default,1,1,100,198,10958.90,37.704,35.189,100120.14,92,51,2,144,0,1,109,59
,103943,0,2,SOILED,,7,7,0,bosch_default,1,2,100,990,661285.12,37.820,29.317,100115.05,97,50,10,128,0,0,112,131
,104220,0,2,SOILED,,2,2,0,bosch_default,1,2,100,990,252590.03,37.059,36.666,100114.47,92,52,10,128,0,0,118,71
,110662,0,2,SOILED,,4,4,0,bosch_default,1,6,200,495,60505.79,37.811,32.984,100131.41,138,79,5,144,0,1,161,125
,110939,0,2,SOILED,,1,1,0,bosch_default,1,7,320,495,26913.37,37.485,35.877,100110.78,170,105,5,128,0,0,169,59
,111080,0,2,SOILED,,0,0,0,bosch_default,1,6,200,495,23607.53,37.023,36.369,100103.79,143,77,5,176,1,1,165,110
,113887,0,2,SOILED,,6,6,0,bosch_default,1,1,100,198,720619.31,38.094,30.730,100129.28,95,55,2,176,1,1,187,83
,114725,0,2,SOILED,,2,2,0,bosch_default,1,2,100,990,244449.75,37.182,36.854,100110.88,92,52,10,144,0,1,194,75
,116828,0,2,SOILED,,3,3,0,bosch_default,1,3,100,2970,282015.97,37.039,36.731,100118.71,92,52,30,144,0,1,205,129
,119068,0,2,SOILED,,1,1,0,bosch_default,1,4,200,495,164524.42,36.360,36.000,100112.65,137,76,5,128,0,0,228,58
,119072,0,2,SOILED,,5,5,0,bosch_default,1,3,100,2970,328731.94,37.041,33.881,100114.96,95,52,30,144,0,1,219,197
,122295,0,2,SOILED,,7,7,0,bosch_default,1,7,320,495,56091.15,38.129,29.758,100111.15,180,105,5,144,0,1,244,131
,124813,0,2,SOILED,,2,2,0,bosch_default,1,2,100,990,243751.48,37.558,37.041,100114.43,92,52,10,128,0,0,11,72
,124821,0,2,SOILED,,6,6,0,bosch_default,1,2,100,990,702814.00,37.752,30.531,100124.66,95,55,10,144,0,1,10,78
,125232,0,2,SOILED,,0,0,0,bosch_default,1,2,100,990,210786.33,36.855,35.955,100103.99,98,52,10,128,0,0,11,101
,127334,0,2,SOILED,,1,1,0,bosch_default,1,3,100,2970,195457.14,36.423,35.793,100118.65,91,51,30,144,0,1,32,59
,127618,0,2,SOILED,,4,4,0,bosch_default,1,3,100,2970,549946.31,37.256,32.601,100130.59,94,54,30,144,0,1,27,121
,134759,0,2,SOILED,,3,3,0,bosch_default,1,9,320,495,12465.91,38.693,37.193,100123.28,169,107,5,176,1,1,78,128
,135318,0,2,SOILED,,2,2,0,bosch_default,1,2,100,990,236653.58,37.766,37.181,100121.59,92,52,10,144,0,1,87,75
,135598,0,2,SOILED,,1,1,0,bosch_default,1,2,100,990,229185.31,36.780,35.657,100119.16,92,51,10,128,0,0,92,59
